, VG, VDS, ID, IG
, 5.2, 0.1, 1.0098e-10, 1.4606e-06
, 5.3, 0.1, 1.0264e-10, 6.7604e-08
, 5.4, 0.1, 7.6391e-11, 5.5284e-06
, 5.5, 0.1, 8.3329e-11, 6.0746e-06
, 5.6, 0.1, 7.7224e-11, 4.026e-06
, 5.7, 0.1, -5.7e-11, 1.9029e-05
, 5.8, 0.1, 6.7892e-11, 1.0479e-05
, 5.9, 0.1, 8.0065e-11, 9.0385e-06
, 6.0, 0.1, 9.702e-11, 1.9085e-05
, 6.1, 0.1, 9.238e-11, 1.5538e-05
, 6.2, 0.1, 8.5418e-11, 1.0551e-05
, 6.3, 0.1, 9.1817e-11, 1.3846e-05
, 6.4, 0.1, 7.8075e-11, 1.3591e-05
, 6.5, 0.1, 7.898e-11, 1.2714e-05
, 6.6, 0.1, 8.2525e-11, 1.1891e-05
, 6.7, 0.1, 8.3705e-11, 1.1618e-05
, 6.8, 0.1, 8.5013e-11, 1.0817e-05
, 6.9, 0.1, 8.6983e-11, 1.2672e-05
, 7.0, 0.1, 8.1232e-11, 9.9285e-06
, 7.1, 0.1, 9.3687e-11, 8.596e-06
, 7.2, 0.1, 8.9378e-11, 1.2072e-05
, 7.3, 0.1, 9.4306e-11, 1.3825e-05
, 7.4, 0.1, 1.0006e-10, 1.3577e-05
, 7.5, 0.1, 9.5727e-11, 1.3756e-05
, 7.6, 0.1, 8.9853e-11, 1.2955e-05
, 7.7, 0.1, 8.4696e-11, 1.3479e-05
, 7.8, 0.1, 7.9922e-11, 1.5942e-05
, 7.9, 0.1, 8.6653e-11, 1.3548e-05
, 8.0, 0.1, 8.9985e-11, 2.0334e-06
, 8.1, 0.1, -6.8409e-10, 6.5263e-07
, 8.2, 0.1, -6.6845e-10, 7.1099e-07
, 8.3, 0.1, 7.846e-10, 7.2538e-07
, 8.4, 0.1, 6.0073e-11, 3.6386e-07
, 8.5, 0.1, 5.5867e-11, 6.5439e-07
, 8.6, 0.1, 6.1746e-11, 9.097e-07
